stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\Admin\source\repos\Kursach\Corovans\Display\Debug\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0.33915] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33922] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33928] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33937] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33944] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33951] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33958] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33965] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33971] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.33979] Single Buffer requirement not met.
